page_slug,image_role,source_asset,selected_asset,confirmed_service,main_location,local_anchor,postcode,latitude,longitude,location_evidence,image_evidence,status
asbestos-removal-middlesbrough,primary,/asbestos-removal-middlesbrough-textured-ceiling.webp,/asbestos-textured-coating-removal-middlesbrough-central-ts1.webp,Asbestos textured coating removal,Middlesbrough,Central Middlesbrough,TS1,54.5718937,-1.2393005,Postcodes.io TS1 outcode centroid,"Genuine Middlesbrough textured-ceiling enquiry; appearance does not confirm asbestos",implemented
asbestos-removal-stockton-on-tees,primary,/asbestos-removal-stockton-on-tees-loft-enquiry.webp,/asbestos-removal-stockton-on-tees-town-centre-ts18.webp,Asbestos removal,Stockton-on-Tees,Stockton town centre,TS18,54.5609945,-1.3241009,Postcodes.io TS18 outcode centroid,"Genuine Stockton loft enquiry; material subtype unconfirmed",implemented
asbestos-removal-thornaby,primary,/asbestos-removal-thornaby-wall-material.webp,/asbestos-removal-thornaby-mandale-ts17.webp,Asbestos removal,Thornaby,Mandale,TS17,54.5352570,-1.3047180,Postcodes.io TS17 outcode centroid,"Genuine Thornaby interior project; material subtype governed by project evidence",implemented
asbestos-removal-billingham,primary,/asbestos-floor-removal-billingham-project.webp,/asbestos-floor-removal-billingham-town-centre-ts23.webp,Asbestos floor removal,Billingham,Billingham town centre,TS23,54.6095899,-1.2850231,Postcodes.io TS23 outcode centroid,"Genuine Billingham floor-removal project",implemented
asbestos-removal-redcar,primary,/asbestos-textured-coating-removal-redcar-cleveland.webp,/asbestos-textured-coating-removal-redcar-coatham-ts10.webp,Asbestos textured coating removal,Redcar,Coatham,TS10,54.6066012,-1.0694791,Postcodes.io TS10 outcode centroid,"Genuine wider Redcar and Cleveland project; exact street not claimed",implemented
asbestos-removal-yarm-ingleby-barwick,primary,/asbestos-artex-removal-middlesbrough-teesside-textured-ceiling.webp,/asbestos-textured-coating-removal-yarm-high-street-ts15.webp,Asbestos textured coating removal,Yarm,Yarm High Street,TS15,54.4873005,-1.3351736,Postcodes.io TS15 outcode centroid,"Genuine Teesside project reference; not claimed as a completed Yarm job",implemented
asbestos-removal-guisborough-eston,primary,/asbestos-cement-roof-north-east-commercial-building.webp,/asbestos-roof-removal-guisborough-westgate-ts14.webp,Asbestos roof removal,Guisborough,Westgate,TS14,54.5324692,-1.0627815,Postcodes.io TS14 outcode centroid,"Genuine North East roof reference; exact material and local job not inferred",implemented
asbestos-removal-hartlepool,primary,/asbestos-floor-covering-removal-hartlepool.webp,/asbestos-floor-covering-removal-hartlepool-headland-ts24.webp,Asbestos floor-covering removal,Hartlepool,The Headland,TS24,54.6969850,-1.2113345,Postcodes.io TS24 outcode centroid,"Genuine Hartlepool floor-covering removal",implemented
asbestos-removal-darlington-county-durham,primary,/asbestos-floor-removal-middlesbrough-teesside-bathroom.webp,/asbestos-floor-removal-darlington-north-road-dl1.webp,Asbestos floor removal,Darlington,North Road,DL1,54.5301377,-1.5387955,Postcodes.io DL1 outcode centroid,"Genuine North East flooring reference; not claimed as a completed Darlington job",implemented
asbestos-removal-middlesbrough-teesside,primary,/asbestos-removal-middlesbrough-textured-ceiling.webp,/asbestos-removal-middlesbrough-linthorpe-road-ts1.webp,Asbestos removal,Middlesbrough,Linthorpe Road,TS1,54.5718937,-1.2393005,Service-page geographic context,"Genuine Middlesbrough textured-ceiling enquiry; appearance does not confirm asbestos",implemented
asbestos-surveys-testing-middlesbrough-teesside,primary,/asbestos-removal-stockton-on-tees-loft-enquiry.webp,/asbestos-survey-testing-stockton-norton-ts20.webp,Asbestos survey and testing,Stockton-on-Tees,Norton,TS20,54.5908,-1.3102,Service-page geographic context,"Genuine Stockton loft enquiry; image does not identify asbestos",implemented
asbestos-artex-removal-middlesbrough-teesside,primary,/asbestos-artex-textured-ceiling-north-east.webp,/asbestos-artex-removal-middlesbrough-acklam-road-ts5.webp,Asbestos Artex removal,Middlesbrough,Acklam Road,TS5,54.5525,-1.2612,Service-page geographic context,"Genuine North East textured-ceiling reference; testing governs identification",implemented
asbestos-roof-removal-middlesbrough-teesside,primary,/asbestos-cement-roof-north-east-commercial-building.webp,/asbestos-roof-removal-teesside-riverside-park-ts2.webp,Asbestos roof removal,Teesside,Riverside Park,TS2,54.5847,-1.2397,Service-page geographic context,"Genuine North East corrugated commercial roof; appearance alone does not confirm asbestos",implemented
asbestos-aib-removal-middlesbrough-teesside,primary,/asbestos-removal-thornaby-wall-material.webp,/asbestos-aib-removal-thornaby-teesdale-ts17.webp,Asbestos AIB removal,Thornaby,Teesdale,TS17,54.535257,-1.304718,Service-page geographic context,"Genuine Thornaby interior reference; image not used to identify AIB",implemented
asbestos-floor-removal-middlesbrough-teesside,primary,/asbestos-floor-removal-billingham-project.webp,/asbestos-floor-removal-billingham-cowpen-lane-ts23.webp,Asbestos floor removal,Billingham,Cowpen Lane,TS23,54.6095899,-1.2850231,Service-page geographic context,"Genuine Billingham floor-removal project",implemented
asbestos-pipe-insulation-removal-middlesbrough-teesside,primary,/asbestos-removal-middlesbrough-teesside-commercial-roof.webp,/asbestos-pipe-insulation-removal-teesside-haverton-hill-ts23.webp,Asbestos pipe insulation removal,Teesside,Haverton Hill,TS23,54.6095899,-1.2850231,Service-page geographic context,"Commercial-building context only; not claimed to show pipe insulation",implemented
commercial-asbestos-removal-middlesbrough-teesside,primary,/asbestos-removal-middlesbrough-teesside-commercial-roof.webp,/commercial-asbestos-removal-middlesbrough-teesamp-ts2.webp,Commercial asbestos removal,Middlesbrough,TeesAMP,TS2,54.5847,-1.2397,Service-page geographic context,"Genuine North East commercial-building context",implemented
